Name,Address,City,State,Zipcode,Neighborhood,Lat,Long
Blondies Pizza,63 POWELL STREET,SAN FRANCISCO,CA,94102,Tenderloin,37.785322,-122.407833
Viva Pizza Restaurant,318 COLUMBUS AVE,SAN FRANCISCO,CA,94133,North Beach,37.798291,-122.407237
Golden Boy Pizza,4531 MISSION ST,SAN FRANCISCO,CA,94112,Excelsior,37.725187,-122.43443
Ocean Pizza Restaurant,1443 OCEAN AVE,SAN FRANCISCO,CA,94112,Oceanview/Merced/Ingleside,37.724209,-122.457713
Victorias Pizzeria,3605 BALBOA ST,SAN FRANCISCO,CA,94121,Outer Richmond,37.775699,-122.497591
Dominos Pizza,320 BAY SHORE BLVD,SAN FRANCISCO,CA,94124,Bernal Heights,37.742672,-122.405618
Dominos Pizza,1408 FILLMORE ST,SAN FRANCISCO,CA,94115,Western Addition,37.782601,-122.432566
Domino's Pizza,3116 NORIEGA ST,SAN FRANCISCO,CA,94122,Sunset/Parkside,37.753327,-122.497164
Escape From Ny Pizza,508 CASTRO ST,SAN FRANCISCO,CA,94114,Castro/Upper Market,37.760603,-122.434968
Round Table Pizza,4523 MISSION ST,SAN FRANCISCO,CA,94112,Excelsior,37.725898,-122.433891
Pizza Express,919 CORTLAND AVE,SAN FRANCISCO,CA,94110,Bernal Heights,37.738953,-122.413654
Primetime Pizza Sportsbar/grl,1810 CLEMENT ST,SAN FRANCISCO,CA,94121,Outer Richmond,37.782294,-122.478572
Galaxcy Pizza,288 GOLDEN GATE AVE,SAN FRANCISCO,CA,94102,Tenderloin,37.781678,-122.415344
Go Getters Pizza,69 GOUGH ST,SAN FRANCISCO,CA,94102,Hayes Valley,37.773463,-122.422299
New York New York Pizza Ktcn,127 EDDY ST,SAN FRANCISCO,CA,94127,Tenderloin,37.784302,-122.409745
Paradise Pizza Llc,393 WEST PORTAL AVE,SAN FRANCISCO,CA,94127,West of Twin Peaks,37.736702,-122.47044
Nizarios Pizza,3840 GEARY BLVD,SAN FRANCISCO,CA,94118,Inner Richmond,37.781248,-122.460682
Village Pizzeria Clement St,1 CLEMENT ST,SAN FRANCISCO,CA,94118,Inner Richmond,37.783181,-122.459339
Irving Pizza,1825 IRVING ST,SAN FRANCISCO,CA,94122,Sunset/Parkside,37.763554,-122.477629
Rainbow Pizza,1083A MARKET ST,SAN FRANCISCO,CA,94103,South of Market,37.780869,-122.412039
Daddyboy's Pizza,4524 3RD ST,SAN FRANCISCO,CA,94124,Bayview Hunters Point,37.736808,-122.39007
Seniores Pizza,2415 19TH AVE,SAN FRANCISCO,CA,94116,Sunset/Parkside,37.742737,-122.475683
Pizzeria Avellino,2769 LOMBARD ST,SAN FRANCISCO,CA,94123, ,37.798496,-122.44709
Mama Pizza/indian Pakistani Fd,5155 3RD ST,SAN FRANCISCO,CA,94124,Bayview Hunters Point,37.731353,-122.391824
Pronto Pizza And Espresso,798 EDDY ST,SAN FRANCISCO,CA,94109,Tenderloin,37.782935,-122.420475
Pizza Royal,464 BROADWAY ST,SAN FRANCISCO,CA,94133, ,37.798089,-122.404892
Cable Car Pizza,4704 MISSION ST,SAN FRANCISCO,CA,94112,Outer Mission,37.722882,-122.436178
Cable Car Pizza,464 BROADWAY ST,SAN FRANCISCO,CA,94133, ,37.798089,-122.404892
Geary Street Bella Pizza,4124 GEARY BLVD,SAN FRANCISCO,CA,94118,Inner Richmond,37.781103,-122.463773
Irving Pizza #3,3244 SCOTT ST,SAN FRANCISCO,CA,94123,Marina,37.799679,-122.441085
Sf Hole In The Wall Pizza,3244 SCOTT ST,SAN FRANCISCO,CA,94123, ,37.799679,-122.441085
Pizza Love,3348 18TH ST,SAN FRANCISCO,CA,94110,Mission,37.761917,-122.418154
